Sample.no,depth,Photos.available,Notes,Remarks,Age..in.Ma.,Age_New,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,P1,P2,P3,D1,D2,R1,R2,R3,R4,R5,R6,Radius,TD,T1,T2,T3,T4,T5,N1,N2,N3,N4,N5,N6,N,WT,Last.Complete.Whorl,No..of.chambers.in.final.whorl,Series,CA1_Avg,CA2_Avg,CA3_Avg,CA4_Avg,CA5_Avg,CL1_Avg,CL2_Avg,CL3_Avg,CL4_Avg,CL5_Avg,CW1_Avg,CW2_Avg,CW3_Avg,CW4_Avg,CW5_Avg,CR1,CR2,CR3,CR4,CR5,CR,Average_Radius,Average_Chambers,Average_Thickness,CR_Avg,Zones,PD
"12,14,2 90-100 2",102.92,,,,33.73581,33.95,0.913,-2.27,0.93,-1.37,150.86,99.92,212.61,183.69,247.35,397.7,619.32,833.73,NA,NA,NA,833.73,54.55,48.61,62.49,59.95,NA,NA,6,16,16,NA,NA,NA,38,3.5,3,16,EOT,20268.87033,22412.12133,33393.939,35424.79333,NA,140.229,145.5536667,155.8773333,157.4676667,NA,161.202,166.4393333,229.8476667,240.6796667,NA,0.869896155,0.874514838,0.678176705,0.654262443,NA,0.654262443,616.9166667,12.66666667,57.01666667,0.769212535,Zone 3,0.821274974
"12,16,2 39-47 1",109.39,,micro,,NA,34.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zone 4,NA
"12,16,3 43-59 1",110.43,,,but last whorl broken,33.83251,34.07,0.945,-2.82,NA,NA,153.45,182.72,198.43,105.46,268.9,458.67,639.8,813.97,NA,NA,NA,813.97,62.41,64.96,51.41,NA,NA,NA,7,12,NA,NA,NA,NA,19,3.5,2,12,EOT,17242.37033,23611.772,28376.93233,32651.605,NA,121.4113333,159.946,149.4323333,140.848,NA,147.8323333,161.467,203.423,257.0485,NA,0.821277258,0.990580119,0.734589173,0.547943287,NA,0.547943287,637.48,9.5,58.185,0.773597459,Zone 4,1.455054049
"12,18,2 61-72 1",115.61,,,""" "" also extra deuteroconch again/wall one side proloc missing P3 uncertain",33.87646,34.12,1.01,-2.83,0.92,-1.82,211.2,306.91,239.84,80.67,268.01,531.27,796.89,NA,NA,NA,NA,796.89,71.15,84.12,90.81,NA,NA,NA,7,10,NA,NA,NA,NA,17,3.5,2,10,EOT,28066.40867,57612.43633,74568.72267,73330.144,NA,163.331,209.8963333,215.151,189.209,NA,194.8316667,300.64,385.3326667,468.717,NA,0.838318548,0.698165026,0.558351312,0.403674285,NA,0.403674285,664.08,8.5,87.465,0.624627293,Zone 4,2.618073633
"17,36,1 0-8 2",115.9,,,,NA,34.12,NA,NA,NA,NA,98.27,118.97,135.68,65.86,155.67,302.16,447.16,NA,NA,NA,NA,447.16,26.1,46.66,47.31,NA,NA,NA,7,10,NA,NA,NA,NA,17,2.75,2,10,EOT,6783.010333,13670.17567,11515.05067,NA,NA,76.02766667,103.9416667,96.048,NA,NA,97.562,143.2893333,137.2003333,NA,NA,0.779275401,0.725397099,0.700056608,NA,NA,0.700056608,374.66,8.5,46.985,0.734909703,Zone 4,1.492104464
"17,36,1 0-8 3",115.9,,,,NA,34.12,NA,NA,NA,NA,134.66,167.69,163.41,92.69,218.43,430.27,622.21,889.19,1098.78,NA,NA,1098.78,48.54,64.33,82.38,93.01,110.52,NA,7,10,13,14,NA,NA,44,4.25,4,14,EOT,15501.56467,25563.95567,38022.91733,50557.22267,48110.9575,125.947,158.9843333,171.0993333,185.6573333,146.9515,155.0426667,180.5876667,244.9596667,317.9436667,351.2545,0.812337679,0.880372045,0.698479614,0.583931535,0.4183619,0.4183619,760.1125,11,87.56,0.678696554,Zone 4,1.452799655
"17,36,1 0-8_2",115.9,,,,NA,34.12,NA,NA,NA,NA,115.11,146.32,159.55,71.85,211.9,389.57,578.27,NA,NA,NA,NA,578.27,69.44,54.78,79.1,NA,NA,NA,7,10,14,NA,NA,NA,31,3,3,14,EOT,5415.581667,13153.212,11308.95567,NA,NA,69.60166667,109.7773333,94.318,NA,NA,86.70466667,137.5716667,134.1246667,NA,NA,0.802744181,0.797964697,0.70321144,NA,NA,0.70321144,483.92,10.33333333,66.94,0.76797344,Zone 4,1.602087683
"17,36,1 0-8 4",115.9,,,,NA,34.12,NA,NA,NA,NA,182.07,203.57,216.38,100.85,248.75,456.49,NA,NA,NA,NA,NA,456.49,45.67,58.01,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,1.5,1,6,EOT,20149.282,36707.294,NA,NA,NA,123.4826667,169.224,NA,NA,NA,170.618,219.0066667,NA,NA,NA,0.723737628,0.772688807,NA,NA,NA,0.772688807,456.49,6,58.01,0.748213218,Zone 4,1.805354487
"12,19,1 22-34 5",117.22,,,,33.89012,34.14,0.904,-2.87,0.89,-2.86,140.67,171.42,167.41,72.32,204.18,349.69,NA,NA,NA,NA,NA,349.69,47.59,50.6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,1.5,1,6,EOT,65116.66667,59056.25,NA,NA,NA,225.1586667,256.7873333,NA,NA,NA,234.7536667,294.854,NA,NA,NA,0.959127369,0.870896557,NA,NA,NA,0.870896557,349.69,6,50.6,0.915011963,Zone 4,1.945105088
"12,19,1 22-34 4",117.22,,,,33.89012,34.14,0.904,-2.87,0.89,-2.86,149.71,172.78,202.13,98.5,266.26,450.45,606.49,NA,NA,NA,NA,606.49,71.68,52.59,NA,NA,NA,NA,7,12,NA,NA,NA,NA,19,2.25,2,12,EOT,19490.46667,24096.53733,NA,NA,NA,122.1633333,150.7263333,NA,NA,NA,174.6163333,174.9053333,NA,NA,NA,0.699610002,0.861759504,NA,NA,NA,0.861759504,528.47,9.5,52.59,0.780684753,Zone 4,1.519898477
"12,19,1 22-34 3",117.22,,,,33.89012,34.14,0.904,-2.87,0.89,-2.86,126.29,176.17,159.86,106.88,223.86,403.91,546.92,760.3,NA,NA,NA,760.3,43.66,46.54,57.74,46.52,NA,NA,7,12,14,NA,NA,NA,33,3,3,14,EOT,17991.67567,24918.48767,32458.377,31325.442,NA,127.382,151.3203333,138.237,168.297,NA,148.3763333,200.732,237.1493333,198.973,NA,0.858506186,0.753842603,0.58291119,0.845828328,NA,0.845828328,570.3766667,11,50.26666667,0.760272077,Zone 4,1.181605539
"12,19,1 22-34 2",117.22,,,,33.89012,34.14,0.904,-2.87,0.89,-2.86,135.15,173.86,190.55,62.18,191.94,386.69,586.58,NA,NA,NA,NA,586.58,41.92,52.7,73.75,NA,NA,NA,6,8,NA,NA,NA,NA,14,2.5,2,8,EOT,23001.814,36693.56367,31431.163,NA,NA,136.4976667,155.3286667,158.4633333,NA,NA,196.8016667,262.4803333,216.3906667,NA,NA,0.693579831,0.59177259,0.732302071,NA,NA,0.732302071,486.635,7,63.225,0.672551497,Zone 4,2.173528466
"12,19,1 22-34 1",117.22,,weird middle,,33.89012,34.14,0.904,-2.87,0.89,-2.86,178.16,198.78,NA,NA,NA,310.589,482.857,NA,NA,NA,NA,482.857,57.143,74.779,79.025,NA,NA,NA,7,13,NA,NA,NA,NA,20,2.75,2,13,EOT,16091.837,19405.44233,11668.367,NA,NA,131.1763333,125.813,103.67,NA,NA,161.6146667,183.122,150.069,NA,NA,0.81166107,0.687044702,0.690815558,NA,NA,0.690815558,396.723,10,76.902,0.729840444,Zone 4,NA
"17,37,1 0-13 1",118.9,,bubble proloc,,NA,34.16,NA,NA,NA,NA,146.78,173.73,191.94,100.21,214.52,424.8,611.1,NA,NA,NA,NA,611.1,39.52,55.04,56.19,NA,NA,NA,6,11,NA,NA,NA,NA,17,2.5,2,11,Eocene,28158.14967,33141.55167,23255.87567,NA,NA,138.0663333,174.679,122.4206667,NA,NA,216.1826667,209.564,169.5713333,NA,NA,0.63865589,0.83353534,0.721941995,NA,NA,0.721941995,517.95,8.5,55.615,0.731377742,Zone 4,1.464724079
"17,37,1 0-13 3",118.9,,,,NA,34.16,NA,NA,NA,NA,189.73,231.67,247.26,94.03,273.42,442.89,580.03,NA,NA,NA,NA,580.03,71.59,57.47,46.697,NA,NA,NA,6,13,NA,NA,NA,NA,19,2,2,13,Eocene,29456.77067,23135.41633,NA,NA,NA,150.1303333,133.3183333,NA,NA,NA,199.0383333,184.0696667,NA,NA,NA,0.754278489,0.724281929,NA,NA,NA,0.724281929,511.46,9.5,52.0835,0.739280209,Zone 4,2.017760289
"17,37,1 0-13 2",118.9,,,,NA,34.16,NA,NA,NA,NA,222.74,269.51,267.24,136.15,327.85,496.61,NA,NA,NA,NA,NA,496.61,74.81,66.61,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,1.75,1,6,Eocene,29397.59067,25491.847,NA,NA,NA,142.0726667,156.8183333,NA,NA,NA,230.9453333,190.7246667,NA,NA,NA,0.615178772,0.822223659,NA,NA,NA,0.822223659,496.61,6,66.61,0.718701216,Zone 4,1.635989717
"17,37,1 0-13 5",118.9,,,,NA,34.16,NA,NA,NA,NA,111.4,117.24,143.88,52.25,170.7,315.92,555.9,NA,NA,NA,NA,555.9,43.91,44.05,78.82,NA,NA,NA,6,11,NA,NA,NA,NA,17,2.75,2,11,Eocene,13565.07733,25824.40667,35308.40833,NA,NA,112.1883333,138.4276667,167.311,NA,NA,135.2793333,174.2443333,167.0656667,NA,NA,0.829308739,0.79444573,1.001468484,NA,NA,1.001468484,435.91,8.5,61.435,0.875074318,Zone 4,2.132057416
"17,37,1 0-13 4",118.9,,,,NA,34.16,NA,NA,NA,NA,204.5,256.48,239.68,119.05,286.62,509.52,NA,NA,NA,NA,NA,509.52,58.76,74.22,77.12,NA,NA,NA,7,10,NA,NA,NA,NA,17,2.5,2,10,Eocene,27134.923,48681.41333,36493.345,NA,NA,146.8730333,170.147,153.7153333,NA,NA,211.6766667,268.4816667,237.4056667,NA,NA,0.693855566,0.633737872,0.647479631,NA,NA,0.647479631,509.52,8.5,75.67,0.658357689,Zone 4,1.717765645
"17,37,2 32-49 2",120.22,No,,,NA,34.17,NA,NA,NA,NA,163.17,178.71,185.8,108.78,234.64,407.13,602.93,713.26,NA,NA,NA,713.26,31.08,41.99,52.86,39.13,NA,NA,6,12,14,NA,NA,NA,32,3,3,14,Eocene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.44,10.66666667,44.66,NA,Zone 4,1.5
"12,20,1 41-50 1",120.41,,,,33.91718,34.17,0.903,-3.1,0.95,-1.67,175.27,209.45,214.7,129.83,276.88,512.56,842.01,NA,NA,NA,NA,842.01,39.54,55.7,96.82,NA,NA,NA,6,10,NA,NA,NA,NA,16,2.5,2,10,Eocene,32462.50033,40634.952,57956.216,NA,NA,162.051,185.6283333,211.1516667,NA,NA,205.09,253.362,297.2206667,NA,NA,0.79014579,0.732660515,0.710420541,NA,NA,0.710420541,677.285,8,76.26,0.744408948,Zone 4,1.349996149
"12,20,1 41-50 2",120.41,,,,33.91718,34.17,0.903,-3.1,0.95,-1.67,186.51,222.82,238.23,117.53,281.46,544.65,754.52,981.49,NA,NA,NA,981.49,78.82,94.17,74.99,91.47,NA,NA,6,16,15,NA,NA,NA,37,3.25,3,15,Eocene,35650.88733,38383.87567,56723.37267,NA,NA,158.7383333,185.0206667,194.588,NA,NA,209.6353333,210.7183333,314.3223333,NA,NA,0.75721173,0.878047314,0.619071505,NA,NA,0.619071505,760.22,12.33333333,86.87666667,0.751443516,Zone 4,1.586913979
"12,20,1 41-50 3",120.41,,,,33.91718,34.17,0.903,-3.1,0.95,-1.67,151.19,176.66,199.14,109.36,266.4,477.39,674.98,NA,NA,NA,NA,674.98,67.33,53.45,59.91,NA,NA,NA,7,15,NA,NA,NA,NA,22,2.5,2,15,Eocene,17640.617,25899.54867,33616.15067,NA,NA,127.1833333,137.1386667,149.1553333,NA,NA,190.3183333,212.5876667,248.8566667,NA,NA,0.668266326,0.645092299,0.599362417,NA,NA,0.599362417,576.185,11,56.68,0.637573681,Zone 4,1.382498171
"17,37,3 15-30 3or6?",121.05,,strange,,NA,34.17,NA,NA,NA,NA,207.87,246.3,262.95,94.59,283.46,434.58,570.03,743.21,NA,NA,NA,743.21,56.71,53.63,46.74,55.38,NA,NA,8,12,15,NA,NA,NA,35,3.25,3,15,Eocene,23967.41433,29783.32067,29025.78333,32888.637,NA,157.399,159.938,143.2216667,135.655,NA,183.0203333,214.528,213.8573333,273.5215,NA,0.860008269,0.745534382,0.669706596,0.495957356,NA,0.495957356,582.6066667,11.66666667,51.91666667,0.692801651,Zone 4,2.197589597
"17,37,3 15-30 4",121.05,,crack in proloc,,NA,34.17,NA,NA,NA,NA,113.92,133.52,165.14,65.23,203.86,402.4,NA,NA,NA,NA,NA,402.4,54.05,76.09,59.97,NA,NA,NA,7,10,NA,NA,NA,NA,17,2,2,10,Eocene,15598.36867,30411.49267,NA,NA,NA,108.0756667,143.12,NA,NA,NA,152.4346667,210.928,NA,NA,NA,0.708996641,0.678525374,NA,NA,NA,0.678525374,402.4,8.5,68.03,0.693761007,Zone 4,1.746435689
"17,37,3 15-30 5",121.05,,,,NA,34.17,NA,NA,NA,NA,168.69,180.1,210.77,88.15,253.24,456.45,692.2,914.64,NA,NA,NA,914.64,54.49,65.17,80.76,74.94,NA,NA,6,9,13,NA,NA,NA,28,3.25,3,13,Eocene,28102.47933,43560.33033,38719.008,NA,NA,138.7103333,156.4873333,162.0275,NA,NA,225.455,278.8343333,258.7405,NA,NA,0.615246206,0.561219745,0.626216228,NA,NA,0.626216228,687.7633333,9.333333333,73.62333333,0.60089406,Zone 4,1.913669881
