Sample.no,depth,Photos.available,Notes,Remarks,Age..in.Ma.,Age_New,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,P1,P2,P3,D1,D2,R1,R2,R3,R4,R5,R6,Radius,TD,T1,T2,T3,T4,T5,N1,N2,N3,N4,N5,N6,N,WT,Last.Complete.Whorl,No..of.chambers.in.final.whorl,Series,CA1_Avg,CA2_Avg,CA3_Avg,CA4_Avg,CA5_Avg,CL1_Avg,CL2_Avg,CL3_Avg,CL4_Avg,CL5_Avg,CW1_Avg,CW2_Avg,CW3_Avg,CW4_Avg,CW5_Avg,CR1,CR2,CR3,CR4,CR5,CR,Average_Radius,Average_Chambers,Average_Thickness,CR_Avg,Zones,PD
"17,16,2 63-75_8",52.08,,,,NA,33.21,NA,NA,NA,NA,179.59,238.38,212.62,126.26,270.98,482,716.52,NA,NA,NA,NA,716.52,34.43,57.75,70.09,NA,NA,NA,6,12,NA,NA,NA,NA,18,2.75,2,12,Oligocene,29028.93367,21121.68067,22851.76367,NA,NA,153.5713333,123.7776667,132.9213333,NA,NA,199.766,189.266,182.7476667,NA,NA,0.768756111,0.653987862,0.727349004,NA,NA,0.727349004,599.26,9,63.92,0.716697659,Zone 1,1.422382386
"17,16,2 63-75_9",52.08,,,,NA,33.21,NA,NA,NA,NA,209.97,259.28,244.21,154.98,344.05,501.47,692.41,888.44,1128.57,NA,NA,1128.57,53.19,50.74,51.77,45.73,NA,NA,7,14,21,NA,NA,NA,42,4,3,21,Oligocene,24132.23133,24729.683,25717.975,29130.50933,NA,141.303,148.2466667,152.9783333,154.8953333,NA,206.5653333,163.7743333,169.7296667,185.9186667,NA,0.684059603,0.905188644,0.901305802,0.833134919,NA,0.833134919,802.7225,14,49.41333333,0.830922242,Zone 1,1.354819977
"11,11,3 0-10_1",55,,,,NA,33.24,NA,NA,NA,NA,245.15,263.83,239.84,142.84,343.05,538.37,800.79,NA,NA,NA,NA,800.79,71.48,81.18,118.13,NA,NA,NA,7,13,NA,NA,NA,NA,20,2.75,2,13,Oligocene,24885.05733,27983.55133,28180.737,NA,NA,135.268,147.3026667,143.4943333,NA,NA,192.7466667,223.4776667,218.8653333,NA,NA,0.701791644,0.659138199,0.655628423,NA,NA,0.655628423,669.58,10,99.655,0.672186088,Zone 1,1.716255951
"17,18,3 10-20_2",58.55,No ,not eq,,NA,33.28,NA,NA,NA,NA,202.58,225.06,248.76,92.53,274.5,NA,NA,NA,NA,NA,NA,0,67.52,73.21,74.92,72.43,112.68,NA,7,11,16,20,NA,NA,54,5,4,20,Oligocene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,83.31,NA,Zone 1,2.189343997
"17,18,3 10-25",58.55,No ,?subeq..,,33.15,33.28,1.49,-2.32,1.62,-1.79,230.25,242.16,320.6,110.58,368.04,617.59,802.98,1046.46,NA,NA,NA,1046.46,94.33,98.14,93.37,90.76,NA,NA,8,14,19,NA,NA,NA,41,4,3,19,Oligocene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822.3433333,13.66666667,94.09,NA,Zone 1,2.08220293
"17,19,2 53-63_2",60.98,,,,33.18,33.31,1.14,-2.14,1.13,-1.69,281.07,294.2,339.87,118.1,372.7,608.1,845.97,1103.44,NA,NA,NA,1103.44,80.95,117.9,113.75,114.09,NA,NA,7,12,17,NA,NA,NA,36,3.5,3,17,Oligocene,20242.24733,24855.076,30015.78833,42173.312,NA,128.8566667,128.2606667,138.7546667,158.168,NA,206.8953333,227.009,251.6953333,297.103,NA,0.62281089,0.565002562,0.551280252,0.532367563,NA,0.532367563,852.5033333,12,115.2466667,0.567865317,Zone 1,2.379932261
"17,19,2 53-63_3",60.98,,,irregular - appears to have 2 deuteroconches?!,33.18,33.31,1.14,-2.14,1.13,-1.69,319.18,302.78,417.27,109.79,393.24,655.24,966.38,NA,NA,NA,NA,966.38,63.94,116.49,NA,NA,NA,NA,5,11,NA,NA,NA,NA,16,2.5,2,11,Oligocene,21346.958,35340.975,62622.14867,NA,NA,131.3525,183.375,189.8693333,NA,NA,212.0185,264.458,320.922,NA,NA,0.619533201,0.69339933,0.591637013,NA,NA,0.591637013,810.81,8,116.49,0.634856515,Zone 1,2.907186447
"17,19,2 53-63_1",60.98,,,,33.18,33.31,1.14,-2.14,1.13,-1.69,195.03,266.29,262.6,138.73,309.39,528.63,759.23,952.29,NA,NA,NA,952.29,67.51,68.13,74.65,NA,NA,NA,7,13,14,NA,NA,NA,34,3.25,3,14,Oligocene,28189.08767,33173.831,45208.23767,46285.53533,NA,136.5126667,150.553,181.8423333,178.726,NA,205.649,217.924,265.8016667,275.089,NA,0.663813909,0.690850939,0.68412789,0.64970246,NA,0.64970246,746.7166667,11.33333333,71.39,0.6721238,Zone 1,1.405824263
"17,20,1 0-15_2",61.08,,,pyrite filled,33.18,33.31,1.36,-1.98,1.26,-1.67,355.26,382.95,440.44,140.54,444.07,766.85,1091.84,NA,NA,NA,NA,1091.84,81.06,124.96,121.74,NA,NA,NA,6,10,NA,NA,NA,NA,16,3,2,10,Oligocene,49503.993,84205.38833,55619.54733,NA,NA,209.476,216.109,181.9646667,NA,NA,278.749,395.8826667,335.1096667,NA,NA,0.751486104,0.545891544,0.543000351,NA,NA,0.543000351,929.345,8,123.35,0.613459333,Zone 1,2.527821261
"17,20,1 0-15_3",61.08,,v.pyritised,,33.18,33.31,1.36,-1.98,1.26,-1.67,NA,NA,NA,NA,283.2,514.02,NA,NA,NA,NA,NA,514.02,57.2,84.38,NA,NA,NA,NA,7,13,NA,NA,NA,NA,20,2.25,2,13,Oligocene,22697.21633,28599.484,NA,NA,NA,122.6093333,152.511,NA,NA,NA,183.1346667,191.917,NA,NA,NA,0.66950368,0.794671655,NA,NA,NA,0.794671655,514.02,10,84.38,0.732087668,Zone 1,NA
