sample,TDP12 Depth (m),TDP12 mcd (+58m),Age_New,d13C,d18O,d13C Cib,d18O Cib,Remarks,,
"21/1, 7-18 cm",61.85,61.85,33.32,1.5,-2.03,0.99,-1.62,,,
"21/2, 9-20 cm",62.87,62.87,33.34,1.04,-2,1.26,-1.67,,,
"21/3, 6-19 cm",63.84,63.84,33.35,0.97,-2.18,0.92,-1.69,,,
"22/1, 0-15 cm",64.9,64.9,33.36,1.23,-2.16,1.31,-1.59,,,
"23/1, 0-15 cm",65.57,65.57,33.36,1.2,-2.27,1.11,-1.61,,,
"23/2, 0-10 cm",66.57,66.57,33.38,1.22,-2.08,1.3,-1.59,,,
"23/3, 0-13 cm",67.57,67.57,33.39,1.29,-2.29,1.31,-1.61,,,
"24/1, 20-35 cm",68.3,68.3,33.39,1.17,-2.33,1.24,-1.61,,,
"24/2, 0-15 cm",69.1,69.1,33.41,1.18,-2.42,1.1,-1.7,,,
"24/3, 0-15 cm",70.1,70.1,33.42,1.14,-2.24,1.49,-1.66,,,
"25/1, 50-60 cm",71.9,71.9,33.44,1.35,-1.95,1.95,-1.62,,,
"25/2, 48-59 cm",72.88,72.88,33.44,1.36,-1.93,1.72,-1.62,,,
"25/3, 44-58 cm",73.84,73.84,33.45,1.5,-2.23,1.86,-1.52,,,
"26/1, 10-25 cm",74.9,74.9,33.46,1.44,-2.13,1.7,-1.5,,,
"26/2, 63-75 cm",76.43,76.43,33.47,1.3,-1.87,1.55,-1.54,,,
"26/3, 10-25 cm",76.9,76.9,33.48,1.54,-2.08,1.47,-1.48,,,
"26/4, 0-15 cm",77.8,77.8,33.50,1.48,-2.09,1.48,-1.49,,,
"27/1, 56-66 cm",78.76,78.76,33.50,1.51,-2.03,1.43,-1.36,,,
" 27/2, 76-85 cm",79.96,79.96,33.51,1.37,-2.15,1.41,-1.43,,,
"27/3, 0-10 cm",80.2,80.2,33.52,1.33,-2.07,1.21,-1.43,,,
"27/4, 35-40 cm",81.55,81.55,33.53,1.4,-2.21,1.61,-1.69,,,
"28/1, 6-14 cm",81.66,81.66,33.53,1.42,-2.4,1.57,-1.43,,,
"28/2, 26-29 cm",82.86,82.86,33.54,1.37,-2.07,1.62,-1.33,,,
